iter	RMSE
0	25.7296918
11	22.9523314822	22.8277196533	22.7052625944	22.5571630255	22.4355957166	22.2705371677	22.14342078	8	22.01133379	9	21.88962328
10	21.75614918
11	21.64807332
12	21.53408269
13	21.42214325
14	21.28651773
15	21.1144116	216	20.9930617	217	20.8416318	23.27946882
19	23.14345345
20	23.00951612
21	22.89274247
22	22.76283756
23	22.62144686
24	22.48477049
25	22.37107727
26	22.24809629
27	22.12914526
28	21.97794931
29	21.84710992
30	21.71895549
31	21.61659768
32	21.5169438
33	21.36287546
34	21.25824168
35	21.14316713
36	21.00174824
37	20.87025755
38	20.73696111
39	20.62638282
40	20.50027229
41	20.39137492
42	20.26219662
43	20.14718601
44	20.0443921
45	19.92730817
46	19.80499084
47	19.69279477
48	19.54313066
49	19.42000218
50	19.28755745
51	19.18072026
52	19.06118684
53	18.93599658
54	18.8388269
55	18.72824727
56	18.62352723
57	18.51525952
58	18.41131569
59	18.30990223
60	18.19381568
61	18.08430925
62	17.9783246
63	17.87298966
64	17.74614711
65	17.6627938
66	17.58748914
67	17.46956407
68	17.36565663
69	17.27632253
70	17.18451416
71	17.09955572
72	16.99997853
73	16.90448693
74	16.81545578
75	16.70911086
76	16.61591061
77	16.51115448
78	16.40611059
79	16.31340866
80	16.21454199
81	16.10114214
82	16.02332103
83	15.94739416
84	15.85708739
85	15.7612152
86	15.67334641
87	15.58318305
88	15.49360728
89	15.39279049
90	15.30659062
91	15.20813742
92	15.12828678
93	15.04310146
94	14.95154548
95	14.86834821
96	14.77027791
97	14.68363585
98	14.59487943
99	14.49676369
100	14.41346484
101	14.33179189
102	14.25619716
103	14.17148933
104	14.08168814
105	13.99408704
106	13.9188847
107	13.83678225
108	13.76121614
109	13.67220891
110	13.59639655
111	13.52728711211112	12.0160113	13.46741958
114	13.3838929
115	13.30838416
116	13.23878761
117	13.17616088
118	13.10367937
119	13.02235859
120	12.94037894
121	12.8621
122	12.79909176
123	12.71812277
124	12.65678966
125	12.57733966
126	12.50356158
127	12.43007788
128	12.36279809
129	12.28980787
130	12.22686476
131	12.15208863
132	12.07759194
133	12.00452715
134	11.93813133
135	11.86003019
136	11.79990412
137	11.73141688
138	11.65887117
139	11.59492618
140	11.5339648
141	11.47518504
142	11.41070598
143	11.3463368
144	11.27829322
145	11.19292723
146	11.12599204
147	11.0550563
148	10.98903688
149	10.93127985
150	10.87298004
151	10.80939452
152	10.75657866
153	10.69588739
154	10.63527128
155	10.58012909
156	10.51427354
157	10.44260885
158	10.39099791
159	10.33117645
160	10.27770538
161	10.22212311
162	10.16605219
163	10.11379167
164	10.06212913
165	10.00092198
166	9.943103138
167	9.884357018
168	9.823137592
169	9.771593812
170	9.708345347
171	9.657549358
172	9.598542469
173	9.534715698
174	9.485035369
175	9.42598339
176	9.369497883
177	9.316317194
178	9.270126929
179	9.212758879
180	9.153985649
181	9.09735269
182	9.050463716
183	8.987948101
184	8.9342782
185	8.888181588
186	8.836569004
187	8.78018608
188	8.737716405
189	8.688656364
190	8.643299541
191	8.592841793
192	8.542422545
193	8.493301207
194	8.445734794
195	8.401355835
196	8.356569484
197	8.315137421
198	8.273263831
199	8.226582906
200	8.181057411
201	8.132090956
202	8.081706453
203	8.027837678
204	7.980469523
205	7.934007394
206	7.88925344
207	7.852101518
208	7.807414221
209	7.760397495
210	7.712702613
211	7.650522305
212	7.606528562
213	7.564599003
214	7.514562325
215	7.462431528
216	7.417961941
217	7.366471383
218	7.318654717
219	7.279710533
220	7.240572125
221	7.202742501
222	7.166828406
223	7.123505755
224	7.083815802
225	7.040993429
226	7.00480381
227	6.968694228
228	6.933655826
229	6.891223175
230	6.853713014
231	6.79983329
232	6.761109419
233	6.722824246
234	6.680111826
235	6.636666554
236	6.599392768
237	6.565384838
238	6.533700813
239	6.500843765
240	6.435837639
241	6.404483342
242	6.370939422
243	6.339938067
244	6.299767895
245	6.267763081
246	6.236156267
247	6.205245596
248	6.169769691
249	6.129834767
250	6.099497433
251	6.060421994
252	6.029256242
253	5.996750048
254	5.966530107
255	5.936821406
256	5.903865935
257	5.873686252
258	5.837813237
259	5.806229318
260	5.775796446
261	5.74055511
262	5.711918318
263	5.683280857
264	5.651160505
265	5.613227404
266	5.576714575
267	5.542662108
268	5.498599884
269	5.464834097
270	5.431162299
271	5.403858774
272	5.376172632
273	5.347241764
274	5.312603198
275	5.285880398
276	5.253330139
277	5.224730146
278	5.190228022
279	5.155240997
280	5.129426899
281	5.100927922
282	5.064416669
283	5.037651795
284	5.005960211
285	4.980834234
286	4.951596503
287	4.920688503
288	4.886010894
289	4.854125752
290	4.828871687
291	4.792297259
292	4.768045351
293	4.744382351
294	4.7209982
295	4.697150599
296	4.67133549
297	4.648251461
298	4.624558423
299	4.600723791
300	4.577757702
301	4.548082297
302	4.516789479
303	4.494391301
304	4.471544982
305	4.447352714
306	4.425120919
307	4.402940648
308	4.380686546
309	4.358656363
310	4.336634636
311	4.314789433
312	4.293469607
313	4.272080334
314	4.250395437
315	4.228855676
316	4.203364899
317	4.182196101
318	4.161462246
319	4.130864009
320	4.100459987
321	4.08024299
322	4.059924067
323	4.039624407
324	4.010906316
325	3.990346704
326	3.969808588
327	3.947583164
328	3.927931516
329	3.908157708
330	3.88861144
331	3.869178666
332	3.849718873
333	3.822932485
334	3.803810567
335	3.784811638
336	3.765892544
337	3.747051476
338	3.728082998
339	3.709235877
340	3.690663822
341	3.671538418
342	3.652820987
343	3.634567616
344	3.615966494
345	3.598138609
346	3.579878209
347	3.562048965
348	3.544180727
349	3.526119273
350	3.508412781
351	3.49076858
352	3.465442607
353	3.448110955
354	3.430772482
355	3.413672794
356	3.396554362
357	3.379492349
358	3.362596443
359	3.345798252
360	3.32905235
361	3.312376541
362	3.295859975
363	3.279385206
364	3.262989948
365	3.246732834
366	3.230223128
367	3.214081078
368	3.198069329
369	3.181997511
370	3.166134953
371	3.150244076
372	3.134559099
373	3.107840385
374	3.092283821
375	3.076792076
376	3.061460002
377	3.046143311
378	3.030677199
379	3.015524651
380	3.000429134
381	2.985449683
382	2.970495572
383	2.955663296
384	2.940872331
385	2.925987446
386	2.911329652
387	2.89675251
388	2.882313225
389	2.867866241
390	2.853561731
391	2.839258892
392	2.825057913
393	2.810913412
394	2.796902804
395	2.7828685
396	2.769016708
397	2.755150538
398	2.741389089
399	2.727676446
400	2.714024917
401	2.700461942
402	2.686963369
403	2.673536259
404	2.660173589
405	2.646893579
406	2.633655712
407	2.620506474
408	2.607399302
409	2.594360225
410	2.581403324
411	2.568484609
412	2.55562967
413	2.542850086
414	2.530138271
415	2.517481244
416	2.504879977
417	2.487732153
418	2.475292903
419	2.46291174
420	2.450595291
421	2.438234451
422	2.426076849
423	2.413907749
424	2.401846728
425	2.389849719
426	2.377912237
427	2.366022676
428	2.354177454
429	2.342393182
430	2.33065935
431	2.319001946
432	2.307416362
433	2.295867805
434	2.284394117
435	2.272982074
436	2.261613399
437	2.250299167
438	2.239033732
439	2.227844024
440	2.216708797
441	2.205631373
442	2.194616418
443	2.183639486
444	2.172723163
445	2.161861885
446	2.151055156
447	2.140306592
448	2.129609917
449	2.118952554
450	2.108370932
451	2.097819862
452	2.087333312
453	2.076894531
454	2.06652291
455	2.056201438
456	2.045922992
457	2.035688577
458	2.025511159
459	2.015392296
460	2.005311455
461	1.995287387
462	1.985323524
463	1.975384388
464	1.965507444
465	1.955687531
466	1.945905397
467	1.936184545
468	1.926506021
469	1.916869907
470	1.907287937
471	1.89775389
472	1.888241565
473	1.87878919
474	1.869387076
475	1.860040141
476	1.850740255
477	1.841481858
478	1.832263102
479	1.823104122
480	1.81398898
481	1.804913874
482	1.795888811
483	1.786906088
484	1.777970521
485	1.769080596
486	1.76024123
487	1.751436877
488	1.74267924
489	1.733955356
490	1.725284657
491	1.716650972
492	1.708071226
493	1.699534446
494	1.691029689
495	1.682573622
496	1.674162845
497	1.665794134
498	1.657458287
499	1.649173098
500	1.640924315
501	1.632716823
502	1.624555297
503	1.616429693
504	1.608352915
505	1.600320436
506	1.592317888
507	1.584353542
508	1.576433775
509	1.568553616
510	1.560712868
511	1.552911335
512	1.545148819
513	1.537425126
514	1.529740062
515	1.522090917
516	1.51448252
517	1.506912175
518	1.499374891
519	1.491875336
520	1.484420775
521	1.476996041
522	1.469608473
523	1.462262414
524	1.454948552
525	1.447675777
526	1.440434886
527	1.433234664
528	1.426070453
529	1.418942072
530	1.411849344
531	1.404787612
532	1.39776564
533	1.390774363
534	1.383822442
535	1.37690529
536	1.370018347
537	1.3631702
538	1.356348777
539	1.349564663
540	1.34281876
541	1.336102331
542	1.329423724
543	1.322778519
544	1.316162321
545	1.309583409
546	1.3030374
547	1.296524132
548	1.290043439
549	1.283595159
550	1.277174897
551	1.270790945
552	1.264434737
553	1.258114471
554	1.251825816
555	1.245568614
556	1.239342707
557	1.23314794
558	1.226984157
559	1.22084427
560	1.214742005
561	1.208670261
562	1.202628886
563	1.196617727
564	1.190632397
565	1.184681206
566	1.178759781
567	1.172867973
568	1.167005635
569	1.161172618
570	1.155368776
571	1.149593963
572	1.143843762
573	1.13812656
574	1.132433726
575	1.12677356
576	1.121141705
577	1.11553802
578	1.109962363
579	1.104414594
580	1.098894575
581	1.093402166
582	1.087937229
583	1.082499628
584	1.077089225
585	1.071705884
586	1.066345151
587	1.061015517
588	1.055708263
589	1.050427577
590	1.045177492
591	1.039949487
592	1.034747652
593	1.029571856
594	1.024425989
595	1.019305862
596	1.014211344
597	1.00913825
598	1.00409055
599	0.9990681169
8181005664
598	0.8140097133
599	0.8099395708
